id,estate_id,block_code,block_code_new,year_planted,seed_variety,area_ha
382,9,D 27B,DBE,2016.0,Topaz,2.2
383,9,D 28,DBE,2016.0,Topaz/Socfindo,1.0
384,9,D 27C,DBE,2017.0,Topaz,0.6
385,9,F 25B,DBE,2016.0,Topaz/Lonsum,0.6
386,9,D 27D,DBE,2018.0,Lonsum,3.5
387,9,D 27E,DBE,2019.0,SAINS,5.2
388,9,D 28B,DBE,2017.0,Topaz,1.0
389,9,D 27F,DBE,2020.0,SRIWIJAYA,5.2
390,9,E 26B,DBE,2017.0,Socfin,0.7
391,9,D 27G,DBE,2021.0,SRIWIJAYA,0.5
392,9,F 25C,DBE,2017.0,Topaz/Socfin,9.2
393,9,F 29,DBE,2017.0,Socfin,3.1
394,9,D 27H,DBE,2023.0,PPKS,3.7
395,9,F 30,DBE,2017.0,Socfin,3.9
396,9,G 25C,DBE,2017.0,Topaz/Socfin,2.5
397,9,D 28C,DBE,2020.0,SRIWIJAYA,3.8
398,9,F 29B,DBE,2018.0,Lonsum,3.3000000000000003
399,9,D 28D,DBE,2021.0,SRIWIJAYA,2.6
400,9,F 30B,DBE,2018.0,Lonsum,8.0
401,9,D 28E,DBE,2022.0,SRIWIJAYA,2.2
402,9,F 31,DBE,2018.0,Lonsum,10.2
403,9,D 28F,DBE,2023.0,PPKS,3.0
404,9,F 28,DBE,2019.0,SAINS,3.0
405,9,D 29,DBE,2022.0,PPKS,0.2
406,9,F 29C,DBE,2019.0,SAINS,1.1
407,9,D 33,DBE,2023.0,PPKS,2.3
408,9,D 34,DBE,2023.0,PPKS,0.1
409,9,E 26C,DBE,2020.0,SRIWIJAYA,1.1
410,9,E 32,DBE,2020.0,SRIWIJAYA,2.3
411,9,F 29D,DBE,2020.0,SRIWIJAYA,0.7
412,9,F 30C,DBE,2020.0,SRIWIJAYA,2.8
413,9,E 26D,DBE,2021.0,SRIWIJAYA,1.6
414,9,F 31B,DBE,2020.0,SRIWIJAYA,5.4
415,9,E 28,DBE,2021.0,SRIWIJAYA,0.9
416,9,E 32B,DBE,2023.0,PPKS,4.5
417,9,F 25D,DBE,2021.0,SRIWIJAYA,0.2
418,9,F 28B,DBE,2021.0,SRIWIJAYA,2.7
419,9,E 34,DBE,2013.0,Topaz,30.0
420,9,F 29E,DBE,2021.0,SRIWIJAYA,1.7
421,9,F 30D,DBE,2021.0,SRIWIJAYA,5.9
422,9,F 31C,DBE,2021.0,SRIWIJAYA,4.2
423,9,F 28C,DBE,2022.0,SRIWIJAYA,1.3
424,9,F 29F,DBE,2022.0,SRIWIJAYA,1.4
425,9,F 30E,DBE,2022.0,SRIWIJAYA,3.3000000000000003
426,9,F 31D,DBE,2022.0,SRIWIJAYA,3.9
427,9,F 29G,DBE,2023.0,PPKS,0.8
428,9,F 30F,DBE,2023.0,PPKS,1.3
429,9,F 31E,DBE,2023.0,PPKS,1.4
430,9,K 32B,DBE,2009.0,Dami Mas,35.2
431,9,K 35B,DBE,2009.0,Socfindo,24.3
432,9,K 33B,DBE,2010.0,Socfindo,28.9708542653
433,9,F 34,DBE,2012.0,Topaz,30.4
434,9,K 34B,DBE,2010.0,Socfindo,29.3201906226
435,9,H 31,DBE,2011.0,Topaz,30.7
436,9,H 34,DBE,2011.0,Topaz,29.8
437,9,J 31,DBE,2011.0,Socfindo,31.2
438,9,J 32,DBE,2011.0,Socfindo,28.8
439,9,J 33,DBE,2011.0,Topaz,29.8
440,9,J 34,DBE,2011.0,Socfindo,30.3
441,9,K 32A,DBE,2011.0,Socfindo,5.7
442,9,K 33A,DBE,2011.0,Socfindo,5.7
443,9,K 35A,DBE,2011.0,Socfindo,5.6
444,9,G 34,DBE,2012.0,Topaz,31.5
445,9,G 35,DBE,2012.0,Topaz,29.8
446,9,H 32,DBE,2012.0,Topaz,28.1
447,9,I 32,DBE,2012.0,Topaz,28.4
448,9,G 36,DBE,2013.0,Topaz,31.6
449,9,H 33,DBE,2013.0,Topaz,28.2
450,9,H 35,DBE,2013.0,Topaz,29.5
451,9,I 31,DBE,2013.0,Topaz,31.2
452,9,I 33,DBE,2013.0,Topaz,28.6
453,9,I 34,DBE,2013.0,Topaz,30.5
454,9,I 35,DBE,2013.0,Topaz,29.3
455,9,H 36,DBE,2012.0,Topaz,29.8
456,9,J 35,DBE,2013.0,Topaz,29.8
457,9,K 31,DBE,2013.0,Topaz,18.1
458,9,K 34A,DBE,2013.0,Topaz,5.7
459,9,L 32,DBE,2009.0,Socfindo,32.9390415064
460,9,L 33,DBE,2009.0,Socfindo,30.4431990786
461,9,L 34,DBE,2009.0,Socfindo,29.6369607063
462,9,I 36,DBE,2011.0,Socfindo,29.1
463,9,L 35,DBE,2009.0,Socfindo,24.9752709651
464,9,L 36,DBE,2009.0,Socfindo,31.3667867276
465,9,L 39A,DBE,2009.0,Socfindo,20.237895390914
466,9,M 31,DBE,2009.0,Socfindo,0.0
467,9,M 32,DBE,2009.0,Socfindo,7.5
468,9,M 33,DBE,2009.0,Socfindo,24.8812144054
469,9,J 36,DBE,2011.0,Socfindo,29.9
470,9,M 34,DBE,2009.0,Socfindo,21.6685746458
471,9,M 35,DBE,2009.0,Socfindo,19.5596913678
472,9,M 36,DBE,2009.0,Socfindo,26.3
473,9,M 37,DBE,2009.0,Socfindo,29.4505817917
474,9,M 38B,DBE,2009.0,Socfindo,27.9565013317
475,9,M 39B,DBE,2009.0,Socfindo,16.4590296729
476,9,M 40B,DBE,2009.0,Socfindo,21.1501037748
477,9,M 41B,DBE,2009.0,Socfindo,24.0595521288
478,9,M 42,DBE,2009.0,Socfindo,29.1254392107
479,9,M 43B,DBE,2009.0,Socfindo,11.5309778437
480,9,K 36A,DBE,2011.0,Socfindo,5.63
481,9,N 37,DBE,2009.0,Socfindo,9.2
482,9,K 36B,DBE,2009.0,Socfindo,30.9552213536
483,9,N 38,DBE,2009.0,Socfindo,19.583149317
484,9,L 31,DBE,2011.0,Socfindo,17.400000000000002
485,9,N 39,DBE,2009.0,Socfindo,21.9977233934
486,9,N 40,DBE,2009.0,Socfindo,17.5116379591
487,9,N 41,DBE,2009.0,Socfindo,12.7744558446
488,9,N 42,DBE,2009.0,Socfindo,11.52561018576
489,9,N 43A,DBE,2009.0,Socfindo,2.2587060007
490,9,L 37,DBE,2009.0,Socfindo,30.7980403585
491,9,L 39B,DBE,2011.0,Socfindo,18.9
492,9,L 38A,DBE,2013.0,Topaz,15.3855740112
493,9,L 40,DBE,2013.0,Topaz,10.7
494,9,L 38B,DBE,2009.0,Socfindo,15.693388737
495,9,M 38A,DBE,2013.0,Topaz,10.8
496,9,M 39A,DBE,2013.0,Topaz,13.7
497,9,M 40A,DBE,2013.0,Topaz,8.6
498,9,M 41A,DBE,2013.0,Topaz,6.0
