block_code,estate,division,division_lama
E026A,DBE,DBE001,DBE01
E027A,DBE,DBE001,DBE01
F025A,DBE,DBE001,DBE01
F027A,DBE,DBE001,DBE01
L028B,OLE,OLE004,OLE04
G027A,DBE,DBE001,DBE01
G030A,DBE,DBE001,DBE01
L029B,OLE,OLE004,OLE04
G032A,DBE,DBE001,DBE01
G033A,DBE,DBE001,DBE01
L030B,OLE,OLE004,OLE04
E033A,DBE,DBE001,DBE01
C027A,DBE,DBE001,DBE01
G025B,DBE,DBE001,DBE01
C027B,DBE,DBE001,DBE01
G028A,DBE,DBE001,DBE01
C028A,DBE,DBE001,DBE01
G029A,DBE,DBE001,DBE01
C029A,DBE,DBE001,DBE01
D027A,DBE,DBE001,DBE01
D026A,DBE,DBE001,DBE01
E027B,DBE,DBE001,DBE01
D027B,DBE,DBE001,DBE01
D028A,DBE,DBE001,DBE01
D027C,DBE,DBE001,DBE01
F025B,DBE,DBE001,DBE01
D027D,DBE,DBE001,DBE01
D027E,DBE,DBE001,DBE01
D028B,DBE,DBE001,DBE01
D027F,DBE,DBE001,DBE01
E026B,DBE,DBE001,DBE01
D027G,DBE,DBE001,DBE01
F025C,DBE,DBE001,DBE01
D027H,DBE,DBE001,DBE01
F029A,DBE,DBE001,DBE01
D027I,DBE,DBE001,DBE01
F030A,DBE,DBE001,DBE01
G025C,DBE,DBE001,DBE01
D028C,DBE,DBE001,DBE01
F029B,DBE,DBE001,DBE01
D028D,DBE,DBE001,DBE01
F030B,DBE,DBE001,DBE01
D028E,DBE,DBE001,DBE01
F031A,DBE,DBE001,DBE01
D028F,DBE,DBE001,DBE01
D028G,DBE,DBE001,DBE01
F028A,DBE,DBE001,DBE01
D029A,DBE,DBE001,DBE01
F029C,DBE,DBE001,DBE01
D029B,DBE,DBE001,DBE01
D033A,DBE,DBE001,DBE01
D034A,DBE,DBE001,DBE01
E026C,DBE,DBE001,DBE01
E032A,DBE,DBE001,DBE01
F029D,DBE,DBE001,DBE01
F030C,DBE,DBE001,DBE01
E026D,DBE,DBE001,DBE01
F031B,DBE,DBE001,DBE01
E026E,DBE,DBE001,DBE01
E028A,DBE,DBE001,DBE01
E032B,DBE,DBE001,DBE01
F025D,DBE,DBE001,DBE01
F028B,DBE,DBE001,DBE01
E034A,DBE,DBE001,DBE01
F029E,DBE,DBE001,DBE01
F030D,DBE,DBE001,DBE01
F031C,DBE,DBE001,DBE01
F025E,DBE,DBE001,DBE01
F028C,DBE,DBE001,DBE01
F029F,DBE,DBE001,DBE01
F030E,DBE,DBE001,DBE01
F031D,DBE,DBE001,DBE01
F029G,DBE,DBE001,DBE01
F030F,DBE,DBE001,DBE01
F031E,DBE,DBE001,DBE01
K032B,DBE,DBE002,DBE02
K035B,DBE,DBE002,DBE02
K033B,DBE,DBE002,DBE02
F034A,DBE,DBE001,DBE01
K034B,DBE,DBE002,DBE02
H031A,DBE,DBE002,DBE02
H034A,DBE,DBE002,DBE02
J031A,DBE,DBE002,DBE02
J032A,DBE,DBE002,DBE02
J033A,DBE,DBE002,DBE02
J034A,DBE,DBE002,DBE02
K032A,DBE,DBE002,DBE02
K033A,DBE,DBE002,DBE02
K035A,DBE,DBE002,DBE02
G034A,DBE,DBE002,DBE02
G035A,DBE,DBE002,DBE02
H032A,DBE,DBE002,DBE02
I032A,DBE,DBE002,DBE02
G036A,DBE,DBE002,DBE02
H033A,DBE,DBE002,DBE02
H035A,DBE,DBE002,DBE02
I031A,DBE,DBE002,DBE02
I033A,DBE,DBE002,DBE02
I034A,DBE,DBE002,DBE02
I035A,DBE,DBE002,DBE02
H036A,DBE,DBE002,DBE02
J035A,DBE,DBE002,DBE02
K031A,DBE,DBE002,DBE02
K034A,DBE,DBE002,DBE02
L032B,DBE,DBE003,DBE03
L033B,DBE,DBE003,DBE03
L034B,DBE,DBE003,DBE03
I036A,DBE,DBE002,DBE02
L035B,DBE,DBE003,DBE03
L036B,DBE,DBE003,DBE03
L039A,DBE,DBE003,DBE03
M031B,DBE,DBE003,DBE03
M032B,DBE,DBE003,DBE03
M033B,DBE,DBE003,DBE03
J036A,DBE,DBE002,DBE02
M034B,DBE,DBE003,DBE03
M035B,DBE,DBE003,DBE03
M036B,DBE,DBE003,DBE03
M037B,DBE,DBE003,DBE03
M038B,DBE,DBE003,DBE03
M039B,DBE,DBE003,DBE03
M040B,DBE,DBE003,DBE03
M041B,DBE,DBE003,DBE03
M042B,DBE,DBE003,DBE03
M043B,DBE,DBE003,DBE03
K036A,DBE,DBE002,DBE02
N037C,DBE,DBE003,DBE03
K036B,DBE,DBE002,DBE02
N038C,DBE,DBE003,DBE03
L031A,DBE,DBE003,DBE03
N039C,DBE,DBE003,DBE03
N040C,DBE,DBE003,DBE03
N041C,DBE,DBE003,DBE03
N042C,DBE,DBE003,DBE03
N043C,DBE,DBE003,DBE03
L037B,DBE,DBE003,DBE03
L039B,DBE,DBE003,DBE03
L038A,DBE,DBE003,DBE03
L040A,DBE,DBE003,DBE03
L038B,DBE,DBE003,DBE03
M038A,DBE,DBE003,DBE03
M039A,DBE,DBE003,DBE03
M040A,DBE,DBE003,DBE03
M041A,DBE,DBE003,DBE03
M043A,DBE,DBE003,DBE03
M044A,DBE,DBE003,DBE03
N043A,DBE,DBE003,DBE03
M034A,DBE,DBE003,DBE03
N044A,DBE,DBE003,DBE03
M039C,DBE,DBE003,DBE03
M035A,DBE,DBE003,DBE03
M040C,DBE,DBE003,DBE03
M041C,DBE,DBE003,DBE03
M036A,DBE,DBE003,DBE03
M036C,DBE,DBE003,DBE03
K037B,DBE,DBE004,DBE04
K038B,DBE,DBE004,DBE04
K039B,DBE,DBE004,DBE04
I039A,DBE,DBE004,DBE04
I040A,DBE,DBE004,DBE04
I041A,DBE,DBE004,DBE04
I042A,DBE,DBE004,DBE04
J039A,DBE,DBE004,DBE04
J040A,DBE,DBE004,DBE04
J041A,DBE,DBE004,DBE04
K039A,DBE,DBE004,DBE04
I043A,DBE,DBE004,DBE04
J037A,DBE,DBE004,DBE04
J038A,DBE,DBE004,DBE04
N037A,DBE,DBE003,DBE03
K037A,DBE,DBE004,DBE04
K038A,DBE,DBE004,DBE04
J042A,DBE,DBE004,DBE04
J043A,DBE,DBE004,DBE04
J044A,DBE,DBE004,DBE04
N042A,DBE,DBE003,DBE03
K040A,DBE,DBE004,DBE04
K041A,DBE,DBE004,DBE04
I045B,DBE,DBE004,DBE04
J042B,DBE,DBE004,DBE04
N043D,DBE,DBE003,DBE03
J043B,DBE,DBE004,DBE04
J044B,DBE,DBE004,DBE04
G037A,DBE,DBE004,DBE04
I044A,DBE,DBE004,DBE04
G038A,DBE,DBE004,DBE04
I045A,DBE,DBE004,DBE04
G039A,DBE,DBE004,DBE04
J042C,DBE,DBE004,DBE04
G040A,DBE,DBE004,DBE04
J042D,DBE,DBE004,DBE04
G041A,DBE,DBE004,DBE04
J043C,DBE,DBE004,DBE04
G042A,DBE,DBE004,DBE04
J044C,DBE,DBE004,DBE04
G043A,DBE,DBE004,DBE04
K041B,DBE,DBE004,DBE04
H037A,DBE,DBE004,DBE04
K042A,DBE,DBE004,DBE04
H038A,DBE,DBE004,DBE04
H039A,DBE,DBE004,DBE04
H040A,DBE,DBE004,DBE04
H041A,DBE,DBE004,DBE04
I038A,DBE,DBE004,DBE04
I037A,DBE,DBE004,DBE04
I037B,DBE,DBE004,DBE04
E036A,DBE,DBE005,DBE05
C038A,DBE,DBE005,DBE05
J044D,DBE,DBE004,DBE04
D035A,DBE,DBE005,DBE05
D036A,DBE,DBE005,DBE05
D037A,DBE,DBE005,DBE05
D038A,DBE,DBE005,DBE05
D039A,DBE,DBE005,DBE05
E035A,DBE,DBE005,DBE05
K041C,DBE,DBE004,DBE04
E036B,DBE,DBE005,DBE05
C036A,DBE,DBE005,DBE05
C037A,DBE,DBE005,DBE05
C039A,DBE,DBE005,DBE05
D040A,DBE,DBE005,DBE05
